Movie Name,Year of Release,Duration,Genre,Certificate,Movie Rating,Description,Director,Stars,Votes,Gross,processed_description,description_sentiment
Scent Woman,1992,156.0,Drama            ,R,8.0,"prep school student needing money agrees `` babysit `` blind man , job anticipated .",Martin Brest,Al Pacino,322171,63.9,a prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated,high negative
Insider,1999,157.0,Biography Drama Thriller            ,R,7.8,research chemist come personal professional attack decides appear 60 Minutes exposé Big Tobacco .,Michael Mann,Russell Crowe,178151,28.97,a research chemist comes under personal and professional attack when he decides to appear in a 60 minutes exposé on big tobacco,low positive
Donnie Brasco,1997,127.0,Biography Crime Drama            ,R,7.7,FBI undercover agent infiltrates mob find identifying Mafia life -- expense regular one .,Mike Newell,Al Pacino,326855,41.91,an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia lifeat the expense of his regular one,low positive
Glengarry Glen Ross,1992,100.0,Crime Drama Mystery            ,R,7.7,examination machination behind scene real estate office .,James Foley,Al Pacino,113989,10.73,an examination of the machinations behind the scenes at a real estate office,low negative
Devil 's Advocate,1997,144.0,Drama Fantasy Mystery            ,R,7.5,exceptionally-adept Florida lawyer offered job high-end New York City law firm high-end bos -- biggest opportunity career date .,Taylor Hackford,Keanu Reeves,395411,60.98,an exceptionallyadept florida lawyer is offered a job at a highend new york city law firm with a highend bossthe biggest opportunity of his career to date,low negative
Justice,1979,119.0,Crime Drama Thriller            ,R,7.4,"lawyer forced defend guilty judge , defending innocent client , trying find punishment guilty provide justice innocent .",Norman Jewison,Al Pacino,38309,0.0,a lawyer is forced to defend a guilty judge while defending other innocent clients and trying to find punishment for the guilty and provide justice for the innocent,low negative
Scarecrow,1973,112.0,Drama            ,R,7.2,"ex-con drifter penchant brawling amused homeless ex-sailor , partner head east together .",Jerry Schatzberg,Gene Hackman,18898,9.0,an excon drifter with a penchant for brawling is amused by a homeless exsailor so they partner up as they head east together,neutral
Insomnia,2002,118.0,Drama Mystery Thriller            ,R,7.2,Two Los Angeles homicide detective dispatched northern town sun n't set investigate methodical murder local teen .,Christopher Nolan,Al Pacino,313641,67.36,two los angeles homicide detectives are dispatched to a northern town where the sun doesnt set to investigate the methodical murder of a local teen,neutral
Panic Needle Park,1971,110.0,Drama            ,PG,7.1,Follows life heroin addict frequent `` Needle Park `` New York City .,Jerry Schatzberg,Al Pacino,19731,0.0,follows the lives of heroin addicts who frequent needle park in new york city,low positive
Rushmore,1998,93.0,Comedy Drama Romance            ,R,7.6,"teenager Rushmore Academy fall much older teacher befriends middle-aged industrialist . Later , find love interest friend affair , prompt begin vendetta .",Wes Anderson,Jason Schwartzman,195764,17.11,a teenager at rushmore academy falls for a much older teacher and befriends a middleaged industrialist later he finds out that his love interest and his friend are having an affair which prompts him to begin a vendetta,low positive
Life Aquatic Steve Zissou,2004,119.0,Action Adventure Comedy            ,R,7.2,"plan exact revenge mythical shark killed partner , Oceanographer Steve Zissou ( Bill Murray ) rally crew includes estranged wife , journalist , man may may son .",Wes Anderson,Bill Murray,208572,24.01,with a plan to exact revenge on a mythical shark that killed his partner oceanographer steve zissou bill murray rallies a crew that includes his estranged wife a journalist and a man who may or may not be his son,low positive
Graduate,1967,106.0,Comedy Drama Romance            ,PG,8.0,disillusioned college graduate find torn older lover daughter .,Mike Nichols,Dustin Hoffman,285542,104.95,a disillusioned college graduate finds himself torn between his older lover and her daughter,low positive
Rain Man,1988,133.0,Drama            ,R,8.0,"selfish L.A. yuppie learns estranged father left fortune autistic-savant brother Ohio n't know existed , absconds brother set across country , hoping gain larger inheritance .",Barry Levinson,Dustin Hoffman,538537,178.8,after a selfish la yuppie learns his estranged father left a fortune to an autisticsavant brother in ohio that he didnt know existed he absconds with his brother and sets out across the country hoping to gain a larger inheritance,low negative
Papillon,1973,151.0,Biography Crime Drama            ,R,8.0,"French convict 1930s befriends fellow criminal two begin serving sentence South American penal colony Devil 's Island , inspires man plot escape .",Franklin J. Schaffner,Steve McQueen,136830,53.27,a french convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the south american penal colony on devils island which inspires the man to plot his escape,low negative
President 's Men,1976,138.0,Drama History Thriller            ,PG,7.9,`` Washington Post `` reporter Bob Woodward Carl Bernstein uncover detail Watergate scandal lead President Richard Nixon 's resignation .,Alan J. Pakula,Dustin Hoffman,124149,70.6,the washington post reporters bob woodward and carl bernstein uncover the details of the watergate scandal that leads to president richard nixons resignation,neutral
Midnight Cowboy,1969,113.0,Drama            ,R,7.8,"naive hustler travel Texas New York City seek personal fortune , finding new friend process .",John Schlesinger,Dustin Hoffman,118196,44.79,a naive hustler travels from texas to new york city to seek personal fortune finding a new friend in the process,low negative
Kramer vs. Kramer,1979,105.0,Drama            ,PG,7.8,"wife leaf , work-obsessed Manhattan advertising executive forced learn long-neglected parenting skill , heated custody battle couple 's young son deepens wound left separation .",Robert Benton,Dustin Hoffman,152570,106.26,after his wife leaves him a workobsessed manhattan advertising executive is forced to learn longneglected parenting skills but a heated custody battle over the couples young son deepens the wounds left by the separation,low negative
Finding Neverland,2004,106.0,Biography Drama Family            ,PG,7.7,story Sir J.M . Barrie 's friendship family inspired create Peter Pan .,Marc Forster,Johnny Depp,210898,51.68,the story of sir jm barries friendship with a family who inspired him to create peter pan,neutral
Truman Show,1998,103.0,Comedy Drama            ,PG,8.2,insurance salesman discovers whole life actually reality TV show .,Peter Weir,Jim Carrey,1166353,125.62,an insurance salesman discovers his whole life is actually a reality tv show,low positive
Sense Sensibility,1995,136.0,Drama Romance            ,PG,7.7,"Rich Mr. Dashwood dy , leaving second wife three daughter poor rule inheritance . two eldest daughter title opposite .",Ang Lee,Emma Thompson,123360,43.18,rich mr dashwood dies leaving his second wife and her three daughters poor by the rules of inheritance the two eldest daughters are the title opposites,low negative
Hamlet,1996,242.0,Drama            ,PG-13,7.7,"Hamlet , Prince Denmark , return home find father murdered mother remarrying murderer , uncle . Meanwhile , war brewing .",Kenneth Branagh,Kenneth Branagh,39594,4.41,hamlet prince of denmark returns home to find his father murdered and his mother remarrying the murderer his uncle meanwhile war is brewing,neutral
Reader,2008,124.0,Drama Mystery Romance            ,R,7.6,"Post-WWII Germany : Nearly decade affair older woman came mysterious end , law student Michael Berg re-encounters former lover defends war-crime trial .",Stephen Daldry,Kate Winslet,256128,34.19,postwwii germany nearly a decade after his affair with an older woman came to a mysterious end law student michael berg reencounters his former lover as she defends herself in a warcrime trial,low positive
Life David Gale,2003,130.0,Crime Drama Mystery            ,R,7.5,man capital punishment accused murdering fellow activist sent death row .,Alan Parker,Kevin Spacey,124881,19.59,a man against capital punishment is accused of murdering a fellow activist and is sent to death row,neutral
Little Children,2006,137.0,Drama Romance            ,R,7.5,"life two lovelorn spouse separate marriage , registered sex offender , disgraced ex-police officer intersect struggle resist vulnerability temptation suburban Massachusetts .",Todd Field,Kate Winslet,115667,5.46,the lives of two lovelorn spouses from separate marriages a registered sex offender and a disgraced expolice officer intersect as they struggle to resist their vulnerabilities and temptations in suburban massachusetts,neutral
Revolutionary Road,2008,119.0,Drama Romance            ,R,7.3,young couple living Connecticut suburb mid-1950s struggle come term personal problem trying raise two child .,Sam Mendes,Leonardo DiCaprio,222544,22.91,a young couple living in a connecticut suburb during the mid1950s struggle to come to terms with their personal problems while trying to raise their two children,low positive
Heavenly Creatures,1994,99.0,Biography Crime Drama            ,R,7.3,"Two teenage girl share unique bond ; parent , concerned friendship intense , separate , girl take revenge .",Peter Jackson,Melanie Lynskey,66750,3.05,two teenage girls share a unique bond their parents concerned that the friendship is too intense separate them and the girls take revenge,low positive
Quills,2000,124.0,Biography Drama            ,R,7.2,"Napoleonic era insane asylum , inmate , irrepressible Marquis De Sade , fight battle will tyrannically prudish doctor .",Philip Kaufman,Geoffrey Rush,56261,7.06,in a napoleonic era insane asylum an inmate the irrepressible marquis de sade fights a battle of wills against a tyrannically prudish doctor,high negative
Sleepers,1996,147.0,Crime Drama Thriller            ,R,7.5,"prank go disastrously wrong , group boy sent detention center brutalized . Thirteen year later , unexpected random encounter former guard give chance revenge .",Barry Levinson,Robert De Niro,234666,49.1,after a prank goes disastrously wrong a group of boys are sent to a detention center where they are brutalized thirteen years later an unexpected random encounter with a former guard gives them a chance for revenge,low negative
Kung Fu Panda,2008,92.0,Animation Action Adventure            ,PG,7.6,"everyone 's surprise , including , Po , overweight , clumsy panda , chosen protector Valley Peace . suitability soon tested valley 's arch-enemy way .","Mark Osborne, John Stevenson",Jack Black,506138,215.43,to everyones surprise including his own po an overweight clumsy panda is chosen as protector of the valley of peace his suitability will soon be tested as the valleys archenemy is on his way,low positive
Lenny,1974,111.0,Biography Drama            ,R,7.5,"story acerbic 1960s comic Lenny Bruce , whose groundbreaking , no-holds-barred style social commentary often deemed Establishment obscene public .",Bob Fosse,Dustin Hoffman,17303,8.43,the story of acerbic 1960s comic lenny bruce whose groundbreaking noholdsbarred style and social commentary was often deemed by the establishment as too obscene for the public,low positive
Point,1971,74.0,Animation Adventure Family            ,Not Rated,7.5,"father read son bedtime story young Oblio , banished fantastical kingdom pointed head thing point .",Fred Wolf,Ringo Starr,3020,0.0,a father reads his son a bedtime story about young oblio who is banished from the fantastical kingdom of pointed heads and things for having no point,low positive
Perfume : Story Murderer,2006,147.0,Crime Drama Fantasy            ,R,7.5,"Jean-Baptiste Grenouille , born superior olfactory sense , creates world 's finest perfume . work , however , take dark turn search ultimate scent .",Tom Tykwer,Ben Whishaw,262794,2.22,jeanbaptiste grenouille born with a superior olfactory sense creates the worlds finest perfume his work however takes a dark turn as he searches for the ultimate scent,low positive
Stranger Fiction,2006,113.0,Comedy Drama Fantasy            ,PG-13,7.5,"I.R.S . auditor Harold Crick suddenly find mundane Chicago life subject narration hear : narration begin affect entire existence , work love life death .",Marc Forster,Will Ferrell,235073,40.14,irs auditor harold crick suddenly finds his mundane chicago life to be the subject of narration only he can hear narration that begins to affect his entire existence from his work to his love life to his death,low positive
Marathon Man,1976,125.0,Crime Drama Thriller            ,R,7.4,"shocking murder older brother , New York history student find inexplicably hounded shadowy government agent trail Nazi war criminal trying retrieve smuggled diamond .",John Schlesinger,Dustin Hoffman,69069,21.71,after the shocking murder of his older brother a new york history student finds himself inexplicably hounded by shadowy government agents on the trail of a nazi war criminal who is trying to retrieve smuggled diamonds,low negative
Straight Time,1978,114.0,Crime Drama            ,R,7.4,difficulty career burglar reinsert released parole .,"Ulu Grosbard, Dustin Hoffman",Dustin Hoffman,9918,9.9,the difficulties of a career burglar to reinsert himself after being released on parole,neutral
Wag Dog,1997,97.0,Comedy Drama            ,R,7.1,"Shortly election , spin-doctor Hollywood producer join effort fabricate war order cover Presidential sex scandal .",Barry Levinson,Dustin Hoffman,87641,43.02,shortly before an election a spindoctor and a hollywood producer join efforts to fabricate a war in order to cover up a presidential sex scandal,neutral
Monster,2003,109.0,Biography Crime Drama            ,R,7.3,"Based life Aileen Wuornos , Daytona Beach prostitute became serial killer .",Patty Jenkins,Charlize Theron,159542,34.47,based on the life of aileen wuornos a daytona beach prostitute who became a serial killer,neutral
Alien,1979,117.0,Horror Sci-Fi            ,R,8.5,crew commercial spacecraft encounter deadly lifeform investigating unknown transmission .,Ridley Scott,Sigourney Weaver,932416,78.9,the crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission,low negative
Aliens,1986,137.0,Action Adventure Sci-Fi            ,R,8.4,"Decades surviving Nostromo incident , Ellen Ripley sent re-establish contact terraforming colony find battling Alien Queen offspring .",James Cameron,Sigourney Weaver,751341,85.16,decades after surviving the nostromo incident ellen ripley is sent out to reestablish contact with a terraforming colony but finds herself battling the alien queen and her offspring,low negative
Blade Runner,1982,117.0,Action Drama Sci-Fi            ,R,8.1,blade runner must pursue terminate four replicants stole ship space returned Earth find creator .,Ridley Scott,Harrison Ford,809766,32.87,a blade runner must pursue and terminate four replicants who stole a ship in space and have returned to earth to find their creator,neutral
Martian,2015,144.0,Adventure Drama Sci-Fi            ,PG-13,8.0,"astronaut becomes stranded Mars team assume dead , must rely ingenuity find way signal Earth alive survive potential rescue .",Ridley Scott,Matt Damon,905533,228.43,an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive and can survive until a potential rescue,low negative
American Gangster,2007,157.0,Biography Crime Drama            ,R,7.8,"outcast New York City cop charged bringing Harlem drug lord Frank Lucas , whose real life inspired partly biographical film .",Ridley Scott,Denzel Washington,446519,130.16,an outcast new york city cop is charged with bringing down harlem drug lord frank lucas whose real life inspired this partly biographical film,low positive
Black Hawk,2001,144.0,Action Drama History            ,R,7.7,"story 160 elite U.S. soldier dropped Mogadishu October 1993 capture two top lieutenant renegade warlord , found desperate battle large force heavily armed Somalis .",Ridley Scott,Josh Hartnett,417759,108.64,the story of 160 elite us soldiers who dropped into mogadishu in october 1993 to capture two top lieutenants of a renegade warlord but found themselves in a desperate battle with a large force of heavily armed somalis,low negative
Duellists,1977,100.0,Drama War            ,PG,7.4,"France , 1801 . Due minor perceived slight , mild-mannered Lieutenant d'Hubert forced duel hot-headed irrational Lieutenant Feraud . disagreement ultimately result score duel spanning several year .",Ridley Scott,Keith Carradine,26121,0.2,france 1801 due to a minor perceived slight mildmannered lieutenant dhubert is forced into a duel with hotheaded irrational lieutenant feraud the disagreement ultimately results in scores of duels spanning several years,low negative
Terminator 2 : Judgment Day,1991,137.0,Action Sci-Fi            ,R,8.6,"cyborg , identical one failed kill Sarah Connor , must protect ten year old son John even advanced powerful cyborg .",James Cameron,Arnold Schwarzenegger,1154928,204.84,a cyborg identical to the one who failed to kill sarah connor must now protect her ten year old son john from an even more advanced and powerful cyborg,low positive
Terminator,1984,107.0,Action Sci-Fi            ,R,8.1,"human soldier sent 2029 1984 stop almost indestructible cyborg killing machine , sent year , programmed execute young woman whose unborn son key humanity 's future salvation .",James Cameron,Arnold Schwarzenegger,909840,38.4,a human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanitys future salvation,low positive
Abyss,1989,140.0,Adventure Drama Mystery            ,PG-13,7.5,civilian diving team enlisted search lost nuclear submarine face danger encountering alien aquatic specie .,James Cameron,Ed Harris,188447,54.46,a civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species,low negative
True Lies,1994,141.0,Action Comedy Thriller            ,R,7.3,"fearless , globe-trotting , terrorist-battling secret agent life turned upside discovers wife might affair used-car salesman terrorist smuggle nuclear war head United States .",James Cameron,Arnold Schwarzenegger,276288,146.28,a fearless globetrotting terroristbattling secret agent has his life turned upside down when he discovers his wife might be having an affair with a usedcar salesman while terrorists smuggle nuclear war heads into the united states,low negative
Big Fish,2003,125.0,Adventure Drama Fantasy            ,PG-13,8.0,frustrated son try determine fact fiction dying father 's life .,Tim Burton,Ewan McGregor,454800,66.26,a frustrated son tries to determine the fact from fiction in his dying fathers life,low negative
Lord War,2005,122.0,Crime Drama            ,R,7.6,arm dealer confronts morality work chased INTERPOL Agent .,Andrew Niccol,Nicolas Cage,332758,24.15,an arms dealer confronts the morality of his work as he is being chased by an interpol agent,neutral
Leaving Las Vegas,1995,111.0,Drama Romance            ,R,7.5,"Ben Sanderson , Hollywood screenwriter lost everything alcoholism , arrives Las Vegas drink death . , meet form uneasy friendship non-interference pact prostitute Sera .",Mike Figgis,Nicolas Cage,132306,31.97,ben sanderson a hollywood screenwriter who lost everything because of his alcoholism arrives in las vegas to drink himself to death there he meets and forms an uneasy friendship and noninterference pact with prostitute sera,neutral
Wild Heart,1990,125.0,Crime Drama Thriller            ,R,7.2,Young lover Sailor Lula run variety weirdo Lula 's mom hired kill Sailor .,David Lynch,Nicolas Cage,99349,14.56,young lovers sailor and lula run from the variety of weirdos that lulas mom has hired to kill sailor,low positive
Braindead,1992,104.0,Comedy Fantasy Horror            ,R,7.5,"young man 's mother bitten Sumatran rat-monkey . get sick dy , time come back life , killing eating dog , nurse , friend , neighbor .",Peter Jackson,Timothy Balme,102112,0.24,a young mans mother is bitten by a sumatran ratmonkey she gets sick and dies at which time she comes back to life killing and eating dogs nurses friends and neighbors,low negative
King Kong,2005,187.0,Action Adventure Romance            ,PG-13,7.2,"greedy film producer assembles team moviemakers set infamous Skull Island , find cannibalistic native .",Peter Jackson,Naomi Watts,441423,218.08,a greedy film producer assembles a team of moviemakers and sets out for the infamous skull island where they find more than just cannibalistic natives,neutral
Science Sleep,2006,105.0,Comedy Drama Fantasy            ,R,7.2,man entranced dream imagination love-struck French woman feel show world .,Michel Gondry,Gael Garca Bernal,70574,4.66,a man entranced by his dreams and imagination is lovestruck with a french woman and feels he can show her his world,neutral
Henry V,1989,137.0,Biography Drama History            ,PG-13,7.5,"midst Hundred Years War , young King Henry V England embarks conquest France 1415 .",Kenneth Branagh,Kenneth Branagh,31318,10.16,in the midst of the hundred years war the young king henry v of england embarks on the conquest of france in 1415,low positive
Right Stuff,1983,193.0,Adventure Biography Drama            ,PG,7.8,"U.S. space program 's development breaking sound barrier selection Mercury 7 astronaut , group test pilot seat-of-the-pants approach program 's cautious engineer preferred .",Philip Kaufman,Sam Shepard,64550,21.5,the us space programs development from the breaking of the sound barrier to selection of the mercury 7 astronauts from a group of test pilots with a more seatofthepants approach than the programs more cautious engineers preferred,low positive
Invasion Body Snatchers,1978,115.0,Horror Sci-Fi            ,PG,7.4,"strange seed drift earth space , mysterious pod begin grow invade San Francisco , replicating city 's resident one body time .",Philip Kaufman,Donald Sutherland,68044,24.95,when strange seeds drift to earth from space mysterious pods begin to grow and invade san francisco replicating the citys residents one body at a time,low negative
Wanderers,1979,112.0,Crime Drama Romance            ,R,7.3,"Wanderers teenage , Italian gang Bronx , NYC , 1963 . confrontation gang . Drugs weapon uncool . Adult life awaits .",Philip Kaufman,Ken Wahl,12183,0.01,the wanderers is a teenage italian gang in bronx nyc 1963 they have their confrontations with other gangs drugs and weapons are uncool adult life awaits them,low negative
Unbearable Lightness,1988,171.0,Drama Romance            ,R,7.3,"Central Europe , 1968 : Czech doctor active sex life meet woman want monogamy , Soviet invasion disrupts life .",Philip Kaufman,Daniel DayLewis,38183,10.01,central europe 1968 a czech doctor with an active sex life meets a woman who wants monogamy and then the soviet invasion further disrupts their lives,low positive
Thin Red Line,1998,170.0,Drama History War            ,R,7.6,"Adaptation James Jones ' autobiographical 1962 novel , focusing conflict Guadalcanal second World War .",Terrence Malick,Jim Caviezel,197139,36.4,adaptation of james jones autobiographical 1962 novel focusing on the conflict at guadalcanal during the second world war,neutral
Grease,1978,110.0,Comedy Musical Romance            ,PG,7.2,"Good girl Sandy Olsson greaser Danny Zuko fell love summer . unexpectedly discover 're high school , able rekindle romance ?",Randal Kleiser,John Travolta,295233,188.76,good girl sandy olsson and greaser danny zuko fell in love over the summer when they unexpectedly discover theyre now in the same high school will they be able to rekindle their romance,low positive
Saturday Night Fever,1977,118.0,Drama Music            ,R,6.8,"Anxious future high school , 19-year-old Italian-American Brooklyn try escape harsh reality bleak family life dominating dance floor local disco .",John Badham,John Travolta,85838,94.21,anxious about his future after high school a 19yearold italianamerican from brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco,low negative
Fight Club,1999,139.0,Drama            ,R,8.8,insomniac office worker devil-may-care soap maker form underground fight club evolves much .,David Fincher,Brad Pitt,2270583,37.03,an insomniac office worker and a devilmaycare soap maker form an underground fight club that evolves into much more,high positive
Se7en,1995,127.0,Crime Drama Mystery            ,R,8.6,"Two detective , rookie veteran , hunt serial killer us seven deadly sin motif .",David Fincher,Morgan Freeman,1760201,100.13,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,low negative
Snatch,2000,102.0,Comedy Crime            ,R,8.2,"Unscrupulous boxing promoter , violent bookmaker , Russian gangster , incompetent amateur robber supposedly Jewish jeweler fight track priceless stolen diamond .",Guy Ritchie,Jason Statham,895526,30.33,unscrupulous boxing promoters violent bookmakers a russian gangster incompetent amateur robbers and supposedly jewish jewelers fight to track down a priceless stolen diamond,low negative
"Lock , Stock Two Smoking Barrels",1998,107.0,Action Comedy Crime            ,R,8.1,"Eddy persuades three pal pool money vital poker game powerful local mobster , Hatchet Harry . Eddy loses , Harry give week pay back 500,000 pound .",Guy Ritchie,Jason Flemyng,608096,3.9,eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster hatchet harry eddy loses after which harry gives him a week to pay back 500000 pounds,low negative
Trainspotting,1996,93.0,Drama            ,R,8.1,"Renton , deeply immersed Edinburgh drug scene , try clean get despite allure drug influence friend .",Danny Boyle,Ewan McGregor,715946,16.5,renton deeply immersed in the edinburgh drug scene tries to clean up and get out despite the allure of drugs and the influence of friends,low positive
Big Short,2015,130.0,Biography Comedy Drama            ,R,7.8,"2006-2007 group investor bet United States mortgage market . research , discover flawed corrupt market .",Adam McKay,Christian Bale,472317,70.26,in 20062007 a group of investors bet against the united states mortgage market in their research they discover how flawed and corrupt the market is,high negative
Curious Case Benjamin Button,2008,166.0,Drama Fantasy Romance            ,PG-13,7.8,"Tells story Benjamin Button , man start aging backwards consequence .",David Fincher,Brad Pitt,685140,127.51,tells the story of benjamin button a man who starts aging backwards with consequences,neutral
Ocean 's Eleven,2001,116.0,Crime Thriller            ,PG-13,7.7,Danny Ocean ten accomplice plan rob three Las Vegas casino simultaneously .,Steven Soderbergh,George Clooney,607960,183.42,danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously,neutral
John Malkovich,1999,113.0,Comedy Drama Fantasy            ,R,7.7,puppeteer discovers portal lead literally head movie star John Malkovich .,Spike Jonze,John Cusack,349780,22.86,a puppeteer discovers a portal that leads literally into the head of movie star john malkovich,neutral
Moneyball,2011,133.0,Biography Drama Sport            ,PG-13,7.6,Oakland 's general manager Billy Beane 's successful attempt assemble baseball team lean budget employing computer-generated analysis acquire new player .,Bennett Miller,Brad Pitt,455288,75.61,oakland as general manager billy beanes successful attempt to assemble a baseball team on a lean budget by employing computergenerated analysis to acquire new players,low positive
Legends Fall,1994,133.0,Drama Romance War            ,R,7.5,"early 1900s , three brother father living remote wilderness Montana affected betrayal , history , love , nature , war .",Edward Zwick,Brad Pitt,179306,66.64,in the early 1900s three brothers and their father living in the remote wilderness of montana are affected by betrayal history love nature and war,low positive
Interview Vampire : Vampire Chronicles,1994,123.0,Drama Fantasy Horror            ,R,7.5,"vampire tell epic life story : love , betrayal , loneliness , hunger .",Neil Jordan,Brad Pitt,342475,105.26,a vampire tells his epic life story love betrayal loneliness and hunger,low positive
Goodfellas,1990,145.0,Biography Crime Drama            ,R,8.7,"story Henry Hill life mafia , covering relationship wife Karen mob partner Jimmy Conway Tommy DeVito .",Martin Scorsese,Robert De Niro,1232506,46.84,the story of henry hill and his life in the mafia covering his relationship with his wife karen and his mob partners jimmy conway and tommy devito,neutral
Shutter Island,2010,138.0,Mystery Thriller            ,R,8.2,"Teddy Daniels Chuck Aule , two US marshal , sent asylum remote island order investigate disappearance patient , Teddy uncovers shocking truth place .",Martin Scorsese,Leonardo DiCaprio,1419385,128.01,teddy daniels and chuck aule two us marshals are sent to an asylum on a remote island in order to investigate the disappearance of a patient where teddy uncovers a shocking truth about the place,high negative
Taxi Driver,1976,114.0,Crime Drama            ,R,8.2,"mentally unstable veteran work nighttime taxi driver New York City , perceived decadence sleaze fuel urge violent action .",Martin Scorsese,Robert De Niro,900158,28.26,a mentally unstable veteran works as a nighttime taxi driver in new york city where the perceived decadence and sleaze fuels his urge for violent action,low negative
Raging Bull,1980,129.0,Biography Drama Sport            ,R,8.1,"life boxer Jake LaMotta , whose violence temper led top ring destroyed life outside .",Martin Scorsese,Robert De Niro,373829,23.38,the life of boxer jake lamotta whose violence and temper that led him to the top in the ring destroyed his life outside of it,low positive
Last Waltz,1978,117.0,Documentary Biography Music            ,PG,8.1,film account presentation final concert Band .,Martin Scorsese,Robbie Robertson,19636,0.32,a film account and presentation of the final concert of the band,neutral
King Comedy,1982,109.0,Comedy Crime Drama            ,PG,7.8,"Rupert Pupkin passionate yet unsuccessful comic craves nothing spotlight achieve , stalk kidnaps idol take spotlight .",Martin Scorsese,Robert De Niro,115840,2.5,rupert pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this he stalks and kidnaps his idol to take the spotlight for himself,low positive
Hours,1985,97.0,Comedy Crime Drama            ,R,7.6,ordinary word processor worst night life agrees visit girl Soho met evening coffee shop .,Martin Scorsese,Griffin Dunne,78506,10.6,an ordinary word processor has the worst night of his life after he agrees to visit a girl in soho he met that evening at a coffee shop,high negative
Gangs New York,2002,167.0,Crime Drama            ,R,7.5,"1862 , Amsterdam Vallon return Five Points area New York City seeking revenge Bill Butcher , father 's killer .",Martin Scorsese,Leonardo DiCaprio,466383,77.81,in 1862 amsterdam vallon returns to the five points area of new york city seeking revenge against bill the butcher his fathers killer,low positive
Aviator,2004,170.0,Biography Drama            ,PG-13,7.5,biopic depicting early year legendary director aviator Howard Hughes ' career late 1920s mid 1940s .,Martin Scorsese,Leonardo DiCaprio,379503,102.61,a biopic depicting the early years of legendary director and aviator howard hughes career from the late 1920s to the mid 1940s,low positive
Hugo,2011,126.0,Adventure Drama Family            ,PG,7.5,"1931 Paris , orphan living wall train station get wrapped mystery involving late father automaton .",Martin Scorsese,Asa Butterfield,334040,73.86,in 1931 paris an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton,low negative
Last Temptation Christ,1988,164.0,Drama            ,R,7.5,"life Jesus Christ , journey life face struggle human , final temptation cross .",Martin Scorsese,Willem Dafoe,61795,7.63,the life of jesus christ his journey through life as he faces the struggles all humans do and his final temptation on the cross,neutral
Cape Fear,1991,128.0,Crime Thriller            ,R,7.3,"convicted rapist , released prison serving fourteen-year sentence , stalk family lawyer originally defended .",Martin Scorsese,Robert De Niro,212218,79.1,a convicted rapist released from prison after serving a fourteenyear sentence stalks the family of the lawyer who originally defended him,low positive
Alice n't Live Anymore,1974,112.0,Drama Romance            ,PG,7.3,"recently widowed woman road precocious young son , determined make new life singer .",Martin Scorsese,Ellen Burstyn,26359,18.6,a recently widowed woman is on the road with her precocious young son determined to make a new life for herself as a singer,low positive
Mean Streets,1973,112.0,Crime Drama Thriller            ,R,7.2,small-time hood try keep peace friend Johnny Johnny 's creditor .,Martin Scorsese,Robert De Niro,117392,3.13,a smalltime hood tries to keep the peace between his friend johnny and johnnys creditors,low negative
"New York , New York",1977,155.0,Drama Music Musical            ,PG,6.6,"egotistical saxophonist young lounge singer meet VJ Day embark upon strained rocky romance , even career begin long , uphill climb .",Martin Scorsese,Liza Minnelli,21561,16.4,an egotistical saxophonist and a young lounge singer meet on vj day and embark upon a strained and rocky romance even as their careers begin a long uphill climb,low positive
Pirates Caribbean : Curse Black Pearl,2003,143.0,Action Adventure Fantasy            ,PG-13,8.1,"Blacksmith Turner team eccentric pirate `` Captain `` Jack Sparrow save love , governor 's daughter , Jack 's former pirate ally , undead .",Gore Verbinski,Johnny Depp,1188175,305.41,blacksmith will turner teams up with eccentric pirate captain jack sparrow to save his love the governors daughter from jacks former pirate allies who are now undead,low positive
's Eating Gilbert Grape,1993,118.0,Drama            ,PG-13,7.7,young man small Midwestern town struggle care mentally-disabled younger brother morbidly obese mother attempting pursue happiness .,Lasse Hallström,Johnny Depp,250523,9.17,a young man in a small midwestern town struggles to care for his mentallydisabled younger brother and morbidly obese mother while attempting to pursue his own happiness,low positive
Blow,2001,124.0,Biography Crime Drama            ,R,7.5,"story George Jung , along Medellín Cartel headed Pablo Escobar , established American cocaine market 1970s United States .",Ted Demme,Johnny Depp,272026,52.99,the story of how george jung along with the medellín cartel headed by pablo escobar established the american cocaine market in the 1970s in the united states,neutral
